Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),HEATING COIL GAS:Heating Coil Heating Energy [J](Hourly),HEATING COIL GAS:Heating Coil NaturalGas Energy [J](Hourly),HEATING COIL GAS:Heating Coil Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 01/01  01:00:00,5.05,2.879547846592452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22551.096022414717,2503358.0956872666,3129197.619609082,0.0,0.0,0.0,19.222299619001818,10.698100806340499
 01/01  02:00:00,5.6000000000000009,3.1203483491946515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24630.263913900522,2734162.9207951279,3417703.6509939089,0.0,0.0,0.0,19.222391674923796,10.626797641574714
 01/01  03:00:00,4.95,2.839163113151504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30982.005372642303,3439258.7346149587,4299073.418268698,0.0,0.0,0.0,19.22244211731709,10.594233908677106
 01/01  04:00:00,3.208333333333334,1.8418697552675197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39460.534077963006,4380445.515642588,5475556.894553234,0.0,0.0,0.0,19.22247450276095,10.573306695262872
 01/01  05:00:00,1.3333333333333338,0.6519058296887368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49379.40154063404,5481521.806482121,6851902.258102651,0.0,0.0,0.0,19.222526127835385,10.539913974556207
 01/01  06:00:00,-0.6458333333333334,-0.9764119194655403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58974.463905030614,6546653.0544117889,8183316.318014735,0.0,0.0,0.0,19.22265328534891,10.462163710303445
 01/01  07:00:00,-1.375,-1.5899686461999237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63650.55952861256,7065738.327423197,8832172.909278997,0.0,0.0,0.0,19.222898550760957,10.306496687066949
 01/01  08:00:00,-0.17916666666666673,-0.40703662322070208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100718.8414408759,11180624.075151306,13975780.09393913,0.0,0.0,0.0,20.774050875434786,10.922852253428033
 01/01  09:00:00,2.983333333333333,2.2508994499348704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70536.8611988512,7830174.744101218,9787718.430126522,0.0,0.0,0.0,20.88952120421164,11.075514042073892
 01/01  10:00:00,5.920833333333333,4.293040864557565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49535.21607316854,5498818.50776255,6873523.134703186,0.0,0.0,0.0,20.889223088818068,11.268049324586416
 01/01  11:00:00,7.891666666666668,5.28949812513425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33660.269056462355,3736568.145590462,4670710.181988078,0.0,0.0,0.0,20.889012684119228,11.395699462991268
 01/01  12:00:00,9.170833333333335,5.549674415767654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23214.884929335047,2577044.1521128506,3221305.1901410629,0.0,0.0,0.0,20.888894212902135,11.461099564603224
 01/01  13:00:00,10.05,5.704924161164635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15449.516295283036,1715024.0349208464,2143780.043651057,0.0,0.0,0.0,20.888949497780869,11.422234041248317
 01/01  14:00:00,10.6,5.876071196452205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3209.24191265456,356252.38414476098,445315.4801809512,0.0,0.0,0.0,20.44738308316028,11.169037740415732
 01/01  15:00:00,10.6,5.400591324883309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.11738487979004,10.941661236033028
 01/01  16:00:00,9.950000000000001,4.667577515790103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.214828435328,313400.1863857587,391750.2329821983,0.0,0.0,0.0,20.404518240892995,10.845058185214981
 01/01  17:00:00,8.533333333333334,3.870409408309453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10882.151032993903,1208008.7309219763,1510010.9136524704,0.0,0.0,0.0,20.889834072104788,10.861121863632106
 01/01  18:00:00,6.879166666666666,3.0797143090734075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15624.05664769553,1734399.4570201368,2167999.3212751715,0.0,0.0,0.0,20.8899288942961,10.805313713569762
 01/01  19:00:00,5.829166666666666,2.8759473813548697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20343.751863266127,2258324.6451942056,2822905.8064927558,0.0,0.0,0.0,20.88982302777015,10.88186948080052
 01/01  20:00:00,5.2749999999999999,2.9122849254956475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28523.786066393972,3166376.0687279046,3957970.08590988,0.0,0.0,0.0,20.889583480390134,11.038875826993284
 01/01  21:00:00,5.325,3.254923942496428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33566.36637646995,3726144.1717875,4657680.2147343759,0.0,0.0,0.0,20.889343042912598,11.191650322067489
 01/01  22:00:00,5.6000000000000009,3.6112685613234265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38826.66893846325,4310081.244790143,5387601.5559876789,0.0,0.0,0.0,20.889053114868515,11.37964337878875
 01/01  23:00:00,5.2749999999999999,3.312946060167628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50413.51028322461,5596316.426220868,6995395.532776084,0.0,0.0,0.0,20.888865755099464,11.501560507938338
 01/01  24:00:00,4.675,2.8788076530123787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17807.124826110765,1976738.0729544168,2470922.5911930215,0.0,0.0,0.0,19.249631537703153,10.792123607635249
 01/02  01:00:00,3.8041666666666669,2.169190560337555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33219.30059010609,3687617.000196087,4609521.250245107,0.0,0.0,0.0,19.222329930243533,10.692655632092873
 01/02  02:00:00,2.4333333333333329,1.1031465630277134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40531.84046702213,4499369.381664311,5624211.727080388,0.0,0.0,0.0,19.22254445148732,10.55864737587049
 01/02  03:00:00,1.375,0.37925678715450986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47392.991279948874,5261013.8452504449,6576267.306563054,0.0,0.0,0.0,19.222727756395185,10.443575446092824
 01/02  04:00:00,1.0999999999999999,0.20060969557982354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53280.887425689354,5914618.9945680149,7393273.743210018,0.0,0.0,0.0,19.22287606628878,10.346920221525714
 01/02  05:00:00,0.5041666666666668,-0.17131399514682434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57056.5381930499,6333747.444270203,7917184.305337754,0.0,0.0,0.0,19.222974781145405,10.282414743588108
