Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Electricity Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Defrost Electricity Energy [J](Hourly),SUPPLEMENTAL HEATING COIL ELECTRIC:Heating Coil Heating Energy [J](Hourly),SUPPLEMENTAL HEATING COIL ELECTRIC:Heating Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 01/01  01:00:00,5.05,2.879547846592452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143830.94599562966,0.0,0.0,2382628.2730556575,655380.2302354873,926.8975871659945,0.0,0.0,19.33149321208847,10.74303072188953
 01/01  02:00:00,5.6000000000000009,3.1203483491946515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141379.61505612758,0.0,0.0,2617965.2119713888,668420.9592752401,0.0,0.0,0.0,19.332615887988877,10.673405490706012
 01/01  03:00:00,4.95,2.839163113151504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196107.51966018178,0.0,0.0,3274650.27264122,892371.3959661172,1327.7480944195038,0.0,0.0,19.314365260244995,10.633648162816263
 01/01  04:00:00,3.208333333333334,1.8418697552675197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257289.21277207329,0.0,0.0,4163090.6827853617,1242381.5562911435,3190.8843843880629,0.0,0.0,19.293703160463939,10.604283735282105
 01/01  05:00:00,1.3333333333333338,0.6519058296887368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302623.8104718411,0.0,0.0,5228677.0433817929,1662231.3154042306,4206.838508760843,0.0,0.0,19.278397757833657,10.565032673412665
 01/01  06:00:00,-0.6458333333333334,-0.9764119194655403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330266.697183858,0.0,0.0,6275733.920135446,2147230.8025750836,4448.975042022899,0.0,0.0,19.269204002756003,10.48526667340783
 01/01  07:00:00,-1.375,-1.5899686461999237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343642.705001971,0.0,0.0,6786117.47017458,2376867.7011523887,4513.496906293515,0.0,0.0,19.265001922033365,10.3314767325655
 01/01  08:00:00,-0.17916666666666673,-0.40703662322070208,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,584223.150801988,0.0,0.0,9997782.418970574,3379618.808094093,8341.980779390193,1661234.5291997772,1661234.5291997772,20.769419274134227,10.928245812146784
 01/01  09:00:00,2.983333333333333,2.2508994499348704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442429.06220115008,0.0,0.0,7463837.048561756,2164058.477648617,6781.547607187678,0.0,0.0,20.901148997788807,11.083298484251918
 01/01  10:00:00,5.920833333333333,4.293040864557565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275203.15366093468,0.0,0.0,5275661.099446557,1304392.8456136655,0.0,0.0,0.0,20.95527272011241,11.295688058603718
 01/01  11:00:00,7.891666666666668,5.28949812513425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195551.5551290074,0.0,0.0,3576199.8244537624,840112.9244559188,0.0,0.0,0.0,20.981343250005499,11.433274633038998
 01/01  12:00:00,9.170833333333335,5.549674415767654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137795.31036056658,0.0,0.0,2463523.3382019295,559534.188608494,0.0,0.0,0.0,21.00027788357694,11.506270645174228
 01/01  13:00:00,10.05,5.704924161164635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92517.6937849345,0.0,0.0,1638801.6177279396,365577.8531640589,0.0,0.0,0.0,21.015285047303818,11.47433635927986
 01/01  14:00:00,10.6,5.876071196452205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19317.6303673773,0.0,0.0,337754.01383515066,74967.18944779158,0.0,0.0,0.0,20.693303361249318,11.272109464886923
 01/01  15:00:00,10.6,5.400591324883309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.116352142001053,10.94118771726856
 01/01  16:00:00,9.950000000000001,4.667577515790103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17349.659401533616,0.0,0.0,300835.5782767438,69424.95919554158,0.0,0.0,0.0,20.551562532008377,10.907460037903997
 01/01  17:00:00,8.533333333333334,3.870409408309453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65989.42425745705,0.0,0.0,1153649.0846787142,276068.2695390781,0.0,0.0,0.0,21.025058344988346,10.918809691144946
 01/01  18:00:00,6.879166666666666,3.0797143090734075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93138.58048556706,0.0,0.0,1657481.2417959446,419671.47161761307,0.0,0.0,0.0,21.01619605831286,10.859453193831897
 01/01  19:00:00,5.829166666666666,2.8759473813548697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118760.93394400108,0.0,0.0,2160482.0649886506,564957.8033028696,0.0,0.0,0.0,21.007611273843037,10.931638217128379
 01/01  20:00:00,5.2749999999999999,2.9122849254956475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165867.37020714177,0.0,0.0,3029540.996198913,804673.9410169994,179.9654250738134,0.0,0.0,20.991754173790868,11.0801584030896
 01/01  21:00:00,5.325,3.254923942496428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190116.62942359359,0.0,0.0,3570170.7109839098,930145.8541479588,0.0,0.0,0.0,20.983509769076837,11.227735023748066
